Date,Real Demand,Additive Holt-Winters,Multiplicative Holt-Winters
2016-04-12,2.535707,4.775627241767284,4.781862892127309
2016-04-13,3.148098,3.737328137661148,3.486773898110559
2016-04-14,3.475078,4.140919263361449,3.9138359318026987
2016-04-15,3.96509,4.031211775052549,3.9245633254291588
2016-04-16,0.0395,1.3470589634625814,1.4842457482217002
2016-04-17,2.5387715,0.7094413179849903,0.6039921782969929
2016-04-18,5.038043,4.433840839015746,4.380607070686411
2016-04-19,3.597511,4.77855520052848,4.7847028429768095
2016-04-20,2.555546,3.7402560964223435,3.488844694935424
2016-04-21,4.921775,4.143847222122645,3.91616036099067
2016-04-22,3.288331,4.034139733813745,3.9268941256217627
2016-04-23,3.666882,1.3499869222237768,1.485127242540676
2016-04-24,4.045433,0.7123692767461858,0.6043508895646603
